DriverNumber,BroadcastName,TeamName,Round_Number,Country,Location,Year,Event_Type,Sprint_Qual_Position,Sprint_Race_Position,Qual_Q3_Time,Qual_Position,Sector1Time,Sector2Time,Sector3Time,SpeedST,Stint,Standardized_Time,Race_Position
63,G RUSSELL,Mercedes,6,Spain,Barcelona,2022,Race,,,79.393,4.0,25.26632307692308,33.30372727272727,30.377333333333333,292.1333333333333,4.0,32.927,3.0
77,V BOTTAS,Alfa Romeo,6,Spain,Barcelona,2022,Race,,,79.608,7.0,25.092246153846155,33.52928787878788,30.70478787878788,294.8524590163934,3.0,59.976,6.0
1,M VERSTAPPEN,Red Bull Racing,7,Monaco,Monaco,2022,Race,,,71.666,4.0,24.029190476190475,41.539125,24.72152380952381,252.453125,4.0,1.491,3.0
10,P GASLY,AlphaTauri,7,Monaco,Monaco,2022,Race,,,-1.0,17.0,23.887015873015876,41.643390625,25.138873015873017,264.265625,4.0,54.289,11.0
11,S PEREZ,Red Bull Racing,7,Monaco,Monaco,2022,Race,,,71.629,3.0,24.08673015873016,41.57865625,24.69525396825397,257.0625,4.0,0.0,1.0
14,F ALONSO,Alpine,7,Monaco,Monaco,2022,Race,,,72.247,7.0,24.0334126984127,42.118765625,24.54569841269841,253.9375,3.0,46.358,7.0
16,C LECLERC,Ferrari,7,Monaco,Monaco,2022,Race,,,71.376,1.0,23.949079365079363,41.5464375,24.861809523809526,255.78125,4.0,2.922,4.0
18,L STROLL,Aston Martin,7,Monaco,Monaco,2022,Race,,,-1.0,18.0,24.20719047619048,41.378890625,24.956126984126985,261.015625,5.0,60.802,14.0
20,K MAGNUSSEN,Haas F1 Team,7,Monaco,Monaco,2022,Race,,,-1.0,13.0,26.80294736842105,47.1396,27.739105263157896,240.0,2.0,-1.0,20.0
22,Y TSUNODA,AlphaTauri,7,Monaco,Monaco,2022,Race,,,-1.0,11.0,24.5075,42.07901587301588,25.343064516129036,252.55555555555557,5.0,-1.0,17.0
23,A ALBON,Williams,7,Monaco,Monaco,2022,Race,,,-1.0,16.0,25.224083333333336,43.46087755102041,26.152085106382977,248.6938775510204,4.0,-1.0,18.0
24,G ZHOU,Alfa Romeo,7,Monaco,Monaco,2022,Race,,,-1.0,20.0,24.30133870967742,41.94468253968254,24.84632258064516,261.92063492063494,3.0,-1.0,16.0
3,D RICCIARDO,McLaren,7,Monaco,Monaco,2022,Race,,,-1.0,14.0,24.114301587301583,42.09575,24.71663492063492,263.671875,3.0,57.635,13.0
31,E OCON,Alpine,7,Monaco,Monaco,2022,Race,,,73.047,10.0,24.050412698412696,41.845296875,24.702301587301587,255.171875,3.0,55.644,12.0
4,L NORRIS,McLaren,7,Monaco,Monaco,2022,Race,,,71.849,5.0,23.662253968253967,41.72265625,24.87626984126984,264.578125,5.0,12.231,6.0
44,L HAMILTON,Mercedes,7,Monaco,Monaco,2022,Race,,,72.56,8.0,23.930222222222223,41.899984375,24.84815873015873,256.28125,4.0,50.388,8.0
47,M SCHUMACHER,Haas F1 Team,7,Monaco,Monaco,2022,Race,,,-1.0,15.0,26.74326086956522,45.39325,28.983083333333337,242.0,3.0,-1.0,19.0
5,S VETTEL,Aston Martin,7,Monaco,Monaco,2022,Race,,,72.732,9.0,24.20563492063492,42.003421875,24.858238095238093,259.359375,4.0,53.536,10.0
55,C SAINZ,Ferrari,7,Monaco,Monaco,2022,Race,,,71.601,2.0,24.1198253968254,41.635953125,24.592714285714283,258.5,3.0,1.154,2.0
6,N LATIFI,Williams,7,Monaco,Monaco,2022,Race,,,-1.0,19.0,24.051709677419357,41.56258730158731,25.369693548387097,269.1269841269841,4.0,-1.0,15.0
63,G RUSSELL,Mercedes,7,Monaco,Monaco,2022,Race,,,72.112,6.0,23.899126984126983,41.80003125,24.58273015873016,255.0625,3.0,11.968,5.0
77,V BOTTAS,Alfa Romeo,7,Monaco,Monaco,2022,Race,,,-1.0,12.0,23.85731746031746,42.073484375,24.701682539682537,253.65625,3.0,52.525,9.0
1,M VERSTAPPEN,Red Bull Racing,8,Azerbaijan,Baku,2022,Race,,,101.706,3.0,39.911640000000006,44.558392156862745,26.167509803921565,317.4313725490196,3.0,0.0,1.0
10,P GASLY,AlphaTauri,8,Azerbaijan,Baku,2022,Race,,,102.845,6.0,40.29062,45.13182352941176,26.705764705882352,306.47058823529414,2.0,77.299,5.0
